state,facilities,state_code,population,pop_per_facility,fac_per_100k
Abia,250,NG001,3644714,14578,6.859248764100557
Adamawa,66,NG002,4145684,62813,1.5920171436124895
Akwa Ibom,254,NG003,5353609,21077,4.744463034188713
Anambra,473,NG004,5425334,11470,8.718357247682816
Bauchi,69,NG005,6386388,92556,1.080422924507562
Bayelsa,86,NG006,2228965,25918,3.858292974541996
Benue,150,NG007,5568946,37126,2.6935078917985558
Borno,76,NG008,5669054,74592,1.3406116787739188
Cross River,134,NG009,3780419,28212,3.5445806403999134
Delta,173,NG010,5502806,31808,3.1438506100342263
Ebonyi,68,NG011,2819675,41465,2.4116254532880563
Edo,141,NG012,4138994,29354,3.4066248948415967
Ekiti,111,NG013,3174006,28594,3.4971578503632323
Enugu,391,NG014,4299281,10995,9.094543948162496
Federal Capital Territory,108,NG015,2996670,27746,3.6040004404889423
Gombe,52,NG016,3160494,60778,1.6453124100219776
Imo,375,NG017,5283288,14088,7.097852700818128
Jigawa,32,NG018,5690516,177828,0.5623391622130577
Kaduna,144,NG019,8007205,55605,1.7983803337119506
Kano,195,NG020,12706778,65162,1.5346140461413587
Katsina,45,NG021,7645575,169901,0.5885757447935571
Kebbi,57,NG022,4311454,75639,1.3220597969965586
Kogi,155,NG023,4327246,27917,3.581954896948313
Kwara,212,NG024,3129582,14762,6.774067591135173
Lagos,759,NG025,12102238,15944,6.271567291933938
Nasarawa,54,NG026,2459321,45542,2.195728007852574
Niger,67,NG027,5394631,80516,1.2419755864673598
Ogun,196,NG028,5048351,25756,3.8824558751956824
Ondo,99,NG029,4541779,45876,2.1797625996333156
Osun,61,NG030,4596693,75355,1.327040983594075
Oyo,582,NG031,7636122,13120,7.621669742835434
Plateau,96,NG032,4088038,42583,2.3483147661543264
Rivers,122,NG033,7081412,58044,1.7228202511024637
Sokoto,53,NG034,4879641,92068,1.0861454766856824
Taraba,41,NG035,2984174,72784,1.373914523750961
Yobe,27,NG036,3197296,118418,0.8444635717181017
Zamfara,42,NG037,4376911,104212,0.9595808550824999
