,Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
58813,2020-01-03,NG,Nigeria,AFRO,0,0,0,0
58814,2020-01-04,NG,Nigeria,AFRO,0,0,0,0
58815,2020-01-05,NG,Nigeria,AFRO,0,0,0,0
58816,2020-01-06,NG,Nigeria,AFRO,0,0,0,0
58817,2020-01-07,NG,Nigeria,AFRO,0,0,0,0
58818,2020-01-08,NG,Nigeria,AFRO,0,0,0,0
58819,2020-01-09,NG,Nigeria,AFRO,0,0,0,0
58820,2020-01-10,NG,Nigeria,AFRO,0,0,0,0
58821,2020-01-11,NG,Nigeria,AFRO,0,0,0,0
58822,2020-01-12,NG,Nigeria,AFRO,0,0,0,0
58823,2020-01-13,NG,Nigeria,AFRO,0,0,0,0
58824,2020-01-14,NG,Nigeria,AFRO,0,0,0,0
58825,2020-01-15,NG,Nigeria,AFRO,0,0,0,0
58826,2020-01-16,NG,Nigeria,AFRO,0,0,0,0
58827,2020-01-17,NG,Nigeria,AFRO,0,0,0,0
58828,2020-01-18,NG,Nigeria,AFRO,0,0,0,0
58829,2020-01-19,NG,Nigeria,AFRO,0,0,0,0
58830,2020-01-20,NG,Nigeria,AFRO,0,0,0,0
58831,2020-01-21,NG,Nigeria,AFRO,0,0,0,0
58832,2020-01-22,NG,Nigeria,AFRO,0,0,0,0
58833,2020-01-23,NG,Nigeria,AFRO,0,0,0,0
58834,2020-01-24,NG,Nigeria,AFRO,0,0,0,0
58835,2020-01-25,NG,Nigeria,AFRO,0,0,0,0
58836,2020-01-26,NG,Nigeria,AFRO,0,0,0,0
58837,2020-01-27,NG,Nigeria,AFRO,0,0,0,0
58838,2020-01-28,NG,Nigeria,AFRO,0,0,0,0
58839,2020-01-29,NG,Nigeria,AFRO,0,0,0,0
58840,2020-01-30,NG,Nigeria,AFRO,0,0,0,0
58841,2020-01-31,NG,Nigeria,AFRO,0,0,0,0
58842,2020-02-01,NG,Nigeria,AFRO,0,0,0,0
58843,2020-02-02,NG,Nigeria,AFRO,0,0,0,0
58844,2020-02-03,NG,Nigeria,AFRO,0,0,0,0
58845,2020-02-04,NG,Nigeria,AFRO,0,0,0,0
58846,2020-02-05,NG,Nigeria,AFRO,0,0,0,0
58847,2020-02-06,NG,Nigeria,AFRO,0,0,0,0
58848,2020-02-07,NG,Nigeria,AFRO,0,0,0,0
58849,2020-02-08,NG,Nigeria,AFRO,0,0,0,0
58850,2020-02-09,NG,Nigeria,AFRO,0,0,0,0
58851,2020-02-10,NG,Nigeria,AFRO,0,0,0,0
58852,2020-02-11,NG,Nigeria,AFRO,0,0,0,0
58853,2020-02-12,NG,Nigeria,AFRO,0,0,0,0
58854,2020-02-13,NG,Nigeria,AFRO,0,0,0,0
58855,2020-02-14,NG,Nigeria,AFRO,0,0,0,0
58856,2020-02-15,NG,Nigeria,AFRO,0,0,0,0
58857,2020-02-16,NG,Nigeria,AFRO,0,0,0,0
58858,2020-02-17,NG,Nigeria,AFRO,0,0,0,0
58859,2020-02-18,NG,Nigeria,AFRO,0,0,0,0
58860,2020-02-19,NG,Nigeria,AFRO,0,0,0,0
58861,2020-02-20,NG,Nigeria,AFRO,0,0,0,0
58862,2020-02-21,NG,Nigeria,AFRO,0,0,0,0
58863,2020-02-22,NG,Nigeria,AFRO,0,0,0,0
58864,2020-02-23,NG,Nigeria,AFRO,0,0,0,0
58865,2020-02-24,NG,Nigeria,AFRO,0,0,0,0
58866,2020-02-25,NG,Nigeria,AFRO,0,0,0,0
58867,2020-02-26,NG,Nigeria,AFRO,0,0,0,0
58868,2020-02-27,NG,Nigeria,AFRO,0,0,0,0
58869,2020-02-28,NG,Nigeria,AFRO,5,5,0,0
58870,2020-02-29,NG,Nigeria,AFRO,0,5,0,0
58871,2020-03-01,NG,Nigeria,AFRO,0,5,0,0
58872,2020-03-02,NG,Nigeria,AFRO,0,5,0,0
58873,2020-03-03,NG,Nigeria,AFRO,0,5,0,0
58874,2020-03-04,NG,Nigeria,AFRO,0,5,0,0
58875,2020-03-05,NG,Nigeria,AFRO,0,5,0,0
58876,2020-03-06,NG,Nigeria,AFRO,0,5,0,0
58877,2020-03-07,NG,Nigeria,AFRO,0,5,0,0
58878,2020-03-08,NG,Nigeria,AFRO,0,5,0,0
58879,2020-03-09,NG,Nigeria,AFRO,1,6,0,0
58880,2020-03-10,NG,Nigeria,AFRO,0,6,0,0
58881,2020-03-11,NG,Nigeria,AFRO,0,6,0,0
58882,2020-03-12,NG,Nigeria,AFRO,0,6,0,0
58883,2020-03-13,NG,Nigeria,AFRO,0,6,0,0
58884,2020-03-14,NG,Nigeria,AFRO,0,6,0,0
58885,2020-03-15,NG,Nigeria,AFRO,0,6,0,0
58886,2020-03-16,NG,Nigeria,AFRO,0,6,0,0
58887,2020-03-17,NG,Nigeria,AFRO,0,6,0,0
58888,2020-03-18,NG,Nigeria,AFRO,6,12,0,0
58889,2020-03-19,NG,Nigeria,AFRO,4,16,0,0
58890,2020-03-20,NG,Nigeria,AFRO,0,16,0,0
58891,2020-03-21,NG,Nigeria,AFRO,6,22,0,0
58892,2020-03-22,NG,Nigeria,AFRO,0,22,0,0
58893,2020-03-23,NG,Nigeria,AFRO,0,22,0,0
58894,2020-03-24,NG,Nigeria,AFRO,0,22,0,0
58895,2020-03-25,NG,Nigeria,AFRO,20,42,0,0
58896,2020-03-26,NG,Nigeria,AFRO,4,46,1,1
